AMY KAPL/KROSY.md3 3.0 0.0
BARK KAPL/KBARK.md3 3.0 0.0
BATTLEKUKKU KAPL/KBKUK.md3 3.0 0.0
BEAN KAPL/KBEAN.md3 3.0 0.0
BIG KAPL/KBIG.md3 3.0 0.0
BLAZE KAPL/KBLAZE.md3 3.0 0.0
BOMB KAPL/KBOMB.md3 3.0 0.0
CATERKILLER KAPL/KKILL.md3 3.0 0.0
CHAO KAPL/KCHAO.md3 3.0 0.0
CHAOS KAPL/KCHAOS.md3 3.0 0.0
CHARMY KAPL/KCHARMY.md3 3.0 0.0
CLUCKOID KAPL/KCLUCK.md3 3.0 0.0
CREAM KAPL/KCREAM.md3 3.0 0.0
EGGMAN KAPL/KEGG.md3 3.0 0.0
EGGROBO KAPL/KROBO.md3 3.0 0.0
EMERL KAPL/KEMERL.md3 3.0 0.0
ESPIO KAPL/KESPIO.md3 3.0 0.0
FANG KAPL/KFANG.md3 3.0 0.0
FLICKY KAPL/KFLICKY.md3 3.0 0.0
GUTBUSTER KAPL/KGBUSTER.md3 3.0 0.0
HEAVY KAPL/KHEAVY.md3 3.0 0.0
HEAVYMAGICIAN KAPL/KHMAG.md3 3.0 0.0
HONEY KAPL/KHONEY.md3 3.0 0.0
JET KAPL/KJET.md3 3.0 0.0
KNUCKLES KAPL/KKNUCKLES.md3 3.0 0.0
MARIA KAPL/KMARIA.md3 3.0 0.0
MECHASONIC KAPL/KMECHA.md3 3.0 0.0
METALKNUCKLES KAPL/KMKNUX.md3 3.0 0.0
METALSONIC KAPL/KMETAL.md3 3.0 0.0
MIGHTY KAPL/KMIGHTY.md3 3.0 0.0
MOTOBUG KAPL/KMOTO.md3 3.0 0.0
PLAYERFANG KAPL/KFANG.md3 3.0 0.0
PLAYERREDZ KAPL/KREDZ.md3 3.0 0.0
PLAYERRING KAPL/KRING.md3 3.0 0.0
RAY KAPL/KRAY.md3 3.0 0.0
ROUGE KAPL/KROUGE.md3 3.0 0.0
SHADOW KAPL/KSHADOW.md3 3.0 0.0
SILVER KAPL/KSILVER.md3 3.0 0.0
SONIC KAPL/KSONIC.md3 3.0 0.0
SURGE KAPL/KSURGE.md3 3.0 0.0
TAILSDOLL KAPL/KTDOLL.md3 3.0 0.0
TAILS KAPL/KTAILS.md3 3.0 0.0
TIKAL KAPL/KTIKAL.md3 3.0 0.0
WHISPER KAPL/KWHISPER.md3 3.0 0.0

AIAI SEGA/KAIAI.md3 3.0 0.0
AIGIS SEGA/KAIGIS.md3 3.0 0.0
ARLE SEGA/KARLE.md3 3.0 0.0
AZUSA SEGA/KKAZDX.md3 3.0 0.0
BILLYH SEGA/KBILLY.md3 3.0 0.0
CAROL KAPL/KCAROL.md3 3.0 0.0
CHUCHU SEGA/KCHU.md3 3.0 0.0
ECCO SEGA/KECCO.md3 3.0 0.0
GUM SEGA/KGUM.md3 3.0 0.0
HEADDY SEGA/KHED.md3 3.0 0.0
JACKFROST SEGA/KJACK.md3 3.0 0.0
MAIL SEGA/KMAIL.md3 3.0 0.0
NIGHTS SEGA/KNIGHTS.md3 3.0 0.0
ORTA SEGA/KORTA.md3 3.0 0.0
PULSEMAN SEGA/KPULSEMAN.md3 3.0 0.0
RAPPY SEGA/KRAPPY.md3 3.0 0.0
SAKURA SEGA/KSAKURA.md3 3.0 0.0
VECTORMAN SEGA/KVEC.md3 3.0 0.0
WONDERBOY SEGA/KLIZARD.md3 3.0 0.0
ZIPP SEGA/KZIP.md3 3.0 0.0
TROUBLEBRUIN SEGA/KTROUBLE.md3 3.0 0.0

AGCL KAOB/AGCL.md3 3.0 0.0
ADVR KAOB/ADVR.md3 3.0 0.0
AGTS KAOB/AGTS.md3 3.0 0.0
AGTU KAOB/AGTU.md3 3.0 0.0
AUDI KAOB/AUDI.md3 3.0 0.0
AZR1 KAOB/AZR1.md3 3.0 0.0
BANA KAOB/BANA.md3 3.0 0.0
BBRA KAOB/BBRA.md3 3.0 0.0
BHOG KAOB/BHOG.md3 3.0 0.0
BLEA KAOB/BLEA.md3 3.0 0.0
BLEB KAOB/BLEB.md3 3.0 0.0
BLEF KAOB/BLEF.md3 3.0 0.0
BLEE KAOB/BLEE.md3 3.0 0.0
BLEG KAOB/BLEG.md3 3.0 0.0
BLEM KAOB/BLEM.md3 3.0 0.0
BLON KAOB/BLON.md3 3.0 0.0
BHVR KAOB/BHVR.md3 3.0 0.0
BMCE KAOB/BMCE.md3 3.0 0.0
BOST KAOB/BOST.md3 3.0 0.0
BPBL KAOB/BPBL.md3 3.0 0.0
BPBM KAOB/BPMA.md3 3.0 0.0
BRNG KAOB/BRNG.md3 3.0 0.0
HPMC KAOB/HPMC.md3 3.0 0.0
STEG KAOB/STEG.md3 3.0 0.0
BSPH KAOB/BSPH.md3 3.0 0.0
BUBS KAOB/BUBS.md3 3.0 0.0
BUFO KAOB/BUFO.md3 3.0 0.0
CAPS KAOB/CAPS.md3 3.0 0.0
CBRA KAOB/CBRA.md3 3.0 0.0
CLST KAOB/CLST.md3 3.0 0.0
CONE KAOB/CONE.md3 3.0 0.0
GRBA KAOB/GRBA.md3 3.0 0.0
CPT1 KAOB/CPT1.md3 3.0 0.0
CPT3 KAOB/CPT3.md3 3.0 0.0
CYEM KAOB/CYEM.md3 3.0 0.0
DHND KAOB/DHND.md3 3.0 0.0
DMIS KAOB/DMIS.md3 3.0 0.0
DTRG KAOB/DTRG.md3 3.0 0.0
REBA KAOB/REBA.md3 3.0 0.0
MEMR KAOB/MEMR.md3 3.0 0.0
DVSP KAOB/DVSP.md3 3.0 0.0
ECTA KAOB/ECTA.md3 3.0 0.0
ECTB KAOB/ECTB.md3 3.0 0.0
EGBD KAOB/EGBD.md3 3.0 0.0
EGR1 KAOB/EGR1.md3 3.0 0.0
ELCH KAOB/ELCH.md3 3.0 0.0
ELTB KAOB/ELTB.md3 3.0 0.0
EMR1 KAOB/EMR1.md3 3.0 0.0
EMR2 KAOB/EMR2.md3 3.0 0.0
EMR3 KAOB/EMR3.md3 3.0 0.0
